,JKT,JKM,GRS,HARGA,LT,LB
1207,3,1,1,0.58,94,85
1208,3,2,2,0.6,125,80
1210,3,1,1,1.4,145,171
1211,3,2,1,0.99,97,110
1212,4,3,2,1.25,122,200
1213,4,3,1,1.3,122,200
1214,2,1,1,0.685,75,60
1215,3,2,1,1.15,99,150
1216,3,3,1,1.5,99,130
1217,4,4,1,1.3,114,140
1218,3,2,1,1.5,294,100
1219,2,1,0,1.3,95,60
1222,4,2,0,1.29,149,100
1224,3,2,0,0.99,97,110
1226,4,3,1,1.3,176,150
1227,7,3,3,2.4,216,320
1228,2,1,1,1.3,125,65
1230,2,2,1,0.675,96,75
1231,4,4,1,1.5,129,145
1232,5,4,0,1.85,290,350
1233,4,3,1,1.29,85,138
1234,3,2,1,1.25,85,120
1236,2,2,1,1.3,125,100
1237,4,3,1,1.5,122,150
1239,3,2,1,1.6,205,148
1240,3,3,3,1.6,170,125
1243,5,3,0,1.35,124,200
1244,4,3,0,1.0,100,120
1246,3,2,1,1.8,225,100
1247,4,3,0,2.0,283,115
1248,2,2,2,0.925,100,100
1249,3,3,0,3.2,300,200
1250,4,2,1,2.32,184,209
1251,3,2,0,1.4,137,105
1252,4,3,1,3.5,312,300
1253,3,2,0,0.75,91,90
1254,3,2,0,0.85,116,70
1255,3,2,0,0.9,150,130
1256,2,2,1,0.76,97,68
1257,2,1,1,0.695,72,90
1258,3,2,2,1.5,180,120
1259,3,2,0,0.85,95,70
1263,3,2,1,2.25,240,160
1265,3,2,1,3.65,480,200
1266,3,3,0,1.65,122,160
1268,5,5,0,3.35,424,500
1269,4,3,0,1.95,300,200
1271,5,4,0,2.0,133,170
1272,5,4,2,3.0,356,150
1273,5,3,3,1.9,256,160
1274,3,2,2,1.2,122,80
1275,3,3,1,1.55,118,118
1276,2,2,1,0.485,108,70
1278,3,2,1,0.85,95,70
1279,3,2,2,1.6,120,118
1280,5,2,2,1.2,212,140
1281,4,3,1,0.99,100,120
1282,4,2,1,0.899,144,120
1283,4,3,2,8.0,300,270
1284,5,4,1,2.0,133,170
1286,3,2,1,1.2,96,135
1287,2,1,1,0.795,112,45
1288,2,2,1,1.2,143,80
1289,3,3,1,1.2,96,135
1292,4,3,1,2.7,356,200
1293,4,3,1,3.5,371,280
1294,3,1,1,0.9,115,104
1295,2,1,1,0.68,72,45
1296,2,1,1,0.825,70,45
1297,3,3,2,2.4,198,180
1298,3,2,2,0.95,113,75
1300,4,3,1,1.4,224,180
1301,2,1,1,0.9,72,50
1302,2,2,1,0.55,70,55
1303,2,1,1,0.75,72,36
1305,4,2,1,1.29,176,150
1306,3,3,1,2.6,208,145
1307,3,1,1,0.453,108,70
1308,5,5,3,3.1,424,400
1309,3,2,2,2.5,300,200
1310,3,1,0,0.475,60,50
1311,6,4,6,4.0,560,300
1312,3,2,2,2.3,148,140
1313,2,1,1,0.435,84,56
1314,4,3,6,4.6,513,350
1315,3,2,1,2.99,200,150
1317,3,3,1,3.5,180,220
1318,4,2,1,3.2,244,320
1320,4,3,1,3.15,180,250
1321,5,5,0,3.2,195,360
1322,6,2,1,3.25,278,235
1323,4,4,1,2.75,187,185
1324,4,3,1,1.4,196,180
1325,3,2,2,2.9,200,170
1326,3,2,0,2.5,214,200
1328,4,4,1,3.8,180,250
1329,5,3,2,1.6,135,155
1330,4,3,1,3.5,180,300
1331,3,2,1,0.99,107,90
1332,4,4,1,4.3,300,400
1333,4,4,0,3.8,180,250
1334,3,3,0,3.8,220,260
1335,4,5,1,5.5,334,250
1336,4,3,1,2.3,122,120
1337,3,2,1,1.25,112,70
1338,5,3,1,1.99,319,375
1340,5,3,1,2.5,162,200
1341,5,6,0,2.6,300,198
1343,3,2,2,0.55,72,50
1344,3,3,3,3.0,268,254
1345,3,2,0,1.3,116,90
1346,3,4,1,3.5,216,202
1347,4,2,1,1.6,204,135
1348,6,4,1,3.0,128,270
1350,4,3,2,3.5,300,240
1351,7,4,0,0.975,90,225
1352,3,2,1,0.86,91,95
1353,3,2,0,2.3,140,149
1355,3,3,1,2.4,160,280
1356,3,3,0,1.6,102,160
1357,4,2,1,1.3,90,100
1358,4,3,2,2.45,110,140
1360,7,3,1,2.3,181,300
1361,8,4,0,2.2,181,300
1363,4,4,0,6.3,375,560
1364,5,3,0,1.5,120,340
1366,3,2,3,2.3,180,160
1367,3,2,1,2.1,119,150
1368,4,3,2,2.0,160,120
1369,3,1,1,0.85,127,127
1370,3,2,0,0.53,82,55
1371,3,2,0,1.49,112,70
1372,2,2,1,0.85,70,90
1373,3,2,0,5.0,547,200
1374,4,3,2,2.85,180,250
1375,4,4,1,2.7,187,185
1376,5,2,0,1.38,79,145
1380,8,5,1,4.1,446,432
1381,5,3,0,0.75,112,200
1382,3,3,0,4.25,200,250
1385,2,1,1,0.282,66,30
1386,2,1,1,0.8,101,60
1388,4,3,2,1.85,105,112
1390,4,3,0,2.55,146,155
1391,4,4,1,2.9,258,206
1393,4,2,0,3.0,294,300
1394,3,2,1,0.725,91,45
1396,5,5,0,3.0,369,195
1397,4,3,0,6.2,370,250
1398,4,3,1,3.15,180,290
1399,5,4,2,9.5,450,350
1400,3,2,0,1.85,126,108
1401,2,1,1,0.35,107,60
1403,3,2,1,0.4,108,70
1404,3,2,0,1.45,135,75
1405,4,3,1,3.5,180,200
1407,5,2,1,1.3,70,160
1408,4,3,2,3.6,225,300
1409,3,3,2,4.0,325,218
1410,5,3,2,14.5,540,500
1411,4,3,1,1.35,150,225
1412,4,3,1,1.5,150,225
1413,3,2,2,1.8,126,108
1414,3,2,1,2.75,195,170
1415,3,3,2,1.5,150,140
1416,5,3,0,0.85,100,120
1417,4,3,1,2.3,150,150
1419,5,4,1,3.5,200,200
1422,4,3,10,2.8,140,170
1423,5,3,0,2.05,210,220
1425,4,2,1,7.5,400,550
1426,5,4,0,7.9,360,500
1427,3,1,1,0.605,87,87
1428,4,1,1,0.875,46,80
1430,4,4,0,1.25,117,145
1433,7,5,3,4.6,513,350
1434,3,3,2,2.22,150,100
1435,3,1,1,3.5,220,150
1436,3,3,2,1.99,104,125
1437,5,3,1,3.1,183,280
1438,3,3,0,0.92,97,135
1442,3,2,1,0.9,94,94
1443,3,3,1,1.99,150,180
1444,3,2,1,1.7,125,150
1445,4,3,0,2.8,170,300
1446,3,2,0,0.9,94,94
1447,4,3,0,2.65,318,325
1448,7,5,0,3.25,343,450
1451,3,3,2,1.85,140,180
1452,3,2,1,2.25,169,150
1453,4,5,0,5.8,236,400
1454,5,4,3,2.2,158,220
1455,3,2,1,2.9,112,170
1457,3,1,1,0.615,99,70
1458,3,2,1,1.3,116,90
1459,4,2,0,0.045,102,90
1461,4,3,1,1.6,187,130
1462,5,3,1,1.7,280,200
1463,2,1,0,0.35,60,50
1464,3,1,0,0.98,124,68
1465,4,2,0,0.75,106,100
1466,4,2,0,1.5,91,140
1467,5,5,0,3.0,195,360
1468,5,3,1,1.5,120,340
1470,7,4,1,2.1,181,300
1471,4,3,1,2.6,180,150
1472,3,1,1,1.0,98,70
1473,3,3,1,4.0,180,200
1474,3,3,0,2.5,320,280
1475,6,4,3,2.75,290,450
1476,6,4,1,3.03,128,270
1477,4,2,1,2.75,161,200
1481,4,3,0,3.3,140,300
1482,6,5,1,4.3,442,250
1483,4,3,1,2.3,181,220
1484,6,4,1,1.9,196,380
1486,4,3,3,4.2,198,258
1487,3,2,1,0.9,87,120
1488,3,3,1,0.88,147,100
1489,4,4,2,4.65,200,270
1490,2,1,1,0.18,50,30
1491,3,2,0,1.3,126,80
1492,2,1,0,0.85,101,60
1493,4,4,3,1.92,389,249
1494,4,4,2,6.5,375,560
1495,3,3,1,1.35,131,90
1496,3,2,1,0.6,81,50
1497,3,2,1,0.875,104,70
1499,4,3,0,5.7,375,211
1501,3,2,0,2.95,162,200
1503,4,3,2,3.5,319,210
1504,2,2,1,0.47,60,80
1505,6,3,1,5.0,296,200
1506,5,4,2,6.5,333,400
1508,7,6,6,9.5,527,371
1509,3,2,1,2.6,226,150
1510,2,3,0,0.75,70,120
1512,3,3,0,4.3,200,250
1513,4,4,2,9.5,473,550
1514,4,2,1,7.5,337,400
1515,4,3,1,5.25,458,400
1516,3,2,0,0.85,94,94
1517,4,4,0,3.2,162,132
1518,2,1,0,0.65,54,42
1519,3,2,0,1.3,250,220
1521,6,4,2,4.2,446,432
1522,3,2,0,1.1,113,90
1523,1,3,2,3.0,200,300
1524,4,3,1,3.7,186,300
1525,3,3,0,1.79,105,120
1526,3,3,1,1.79,105,120
1527,2,2,0,0.95,90,70
1528,6,5,4,2.75,286,450
1530,3,3,0,1.95,119,200
1531,5,3,0,9.2,408,500
1532,4,3,0,3.2,190,300
1535,6,3,1,3.8,296,200
1536,4,3,0,3.5,320,300
1537,5,4,1,6.0,300,350
1538,3,2,2,1.9,111,102
1540,2,2,0,1.37,192,45
1542,3,2,0,1.95,199,120
1545,4,3,1,3.2,200,158
1546,3,2,1,1.17,112,90
1548,5,2,0,1.4,70,160
1550,3,3,2,2.8,126,180
1554,4,3,1,1.32,112,140
1556,5,2,2,4.4,352,216
1558,4,3,3,2.3,181,220
1559,2,2,1,1.35,112,85
1560,4,3,2,6.25,370,250
1561,4,3,2,2.9,186,160
1562,5,4,2,6.5,360,400
1563,3,3,0,1.95,220,300
1564,7,2,2,2.1,216,150
1565,3,1,1,0.85,178,140
1566,3,1,3,4.1,536,300
1567,3,2,2,3.5,303,150
1568,4,2,1,1.12,96,108
1569,4,3,0,5.0,405,350
1570,3,2,0,1.1,112,90
1571,3,2,0,1.3,96,140
1573,2,1,2,0.89,78,45
1574,6,3,2,1.8,153,140
1575,3,1,2,1.1,114,90
1576,4,3,4,3.7,289,200
1577,3,2,1,0.6,72,88
1578,3,1,1,1.02,86,76
1579,3,2,3,2.2,200,132
1580,4,4,0,0.8,90,150
1581,4,2,1,8.5,459,303
1582,3,2,2,1.1,182,120
1583,4,3,1,1.87,162,142
1584,2,1,0,0.89,78,45
1585,3,1,1,0.95,90,117
1588,2,2,1,1.1,53,50
1589,4,3,0,5.5,405,300
1590,4,3,1,1.4,108,45
1591,2,2,2,1.1,53,58
1592,2,1,0,0.6,132,120
1593,3,2,0,1.0,200,100
1594,3,2,0,1.8,190,160
1595,7,6,0,5.5,375,500
1596,3,1,1,1.7,200,170
1597,5,2,0,2.3,205,160
1603,2,1,2,1.1,140,98
1607,3,3,1,0.875,60,120
1608,3,3,1,3.75,104,325
1609,4,3,1,1.9,195,180
1610,4,2,0,1.75,196,150
1611,3,1,1,1.45,207,150
1613,3,1,0,1.05,90,117
1616,3,2,1,1.55,148,90
1617,3,1,0,1.1,114,90
1618,5,2,1,1.5,120,150
1619,6,4,2,3.6,162,225
1620,2,1,1,0.175,60,36
1621,4,2,0,1.7,153,162
1623,2,2,1,0.775,66,80
1625,2,1,1,0.8,100,72
1626,5,2,0,1.55,110,160
1627,4,3,2,1.6,153,140
1628,2,1,1,0.95,145,120
1629,2,2,1,0.9,122,70
1630,3,3,0,0.88,60,120
1632,3,2,0,0.59,63,70
1633,6,6,2,2.2,200,150
1634,2,2,1,1.4,156,130
1636,4,2,1,1.2,119,120
1637,2,1,1,1.2,101,140
1639,2,2,0,1.7,216,200
1640,3,1,0,0.85,179,100
1641,3,2,1,1.45,90,120
1642,3,3,1,0.85,179,70
1643,3,3,3,3.75,219,300
1645,2,3,2,1.35,80,100
1646,4,2,0,0.778,105,87
1647,3,3,2,0.98,102,120
1648,3,2,0,0.7,72,100
1649,3,3,1,0.875,120,60
1650,2,1,1,0.7,117,117
1651,4,3,2,1.8,105,200
1652,5,3,1,1.65,120,230
1653,5,3,0,1.6,210,230
1655,4,4,0,3.6,300,400
1657,3,3,0,2.6,207,207
1659,3,2,1,0.75,90,79
1661,6,4,0,4.0,340,360
1664,4,2,1,2.6,140,250
1667,4,3,2,2.2,190,300
1668,2,2,1,1.1,112,90
1669,3,2,1,0.925,98,95
1670,4,3,1,1.45,105,200
1671,3,2,0,1.05,61,81
1672,4,4,1,1.7,117,180
1673,3,2,1,0.95,145,120
1674,2,2,1,1.8,153,140
1675,2,1,1,0.135,36,60
1676,3,3,1,1.65,171,144
1677,6,3,0,1.8,153,140
1678,4,2,4,1.5,300,200
1682,2,2,0,0.75,98,98
1684,3,2,2,2.1,135,160
1685,2,1,1,0.995,120,51
1686,4,3,0,1.7,153,140
1687,3,3,0,1.72,125,168
1689,4,3,0,2.1,200,162
1690,4,2,1,1.0,77,135
1691,7,2,0,1.0,104,80
1692,2,1,0,0.45,38,75
1693,4,4,1,2.0,121,200
1694,2,2,1,1.6,216,200
1695,2,1,0,2.5,172,155
1696,6,2,0,0.9,71,181
1697,2,2,0,1.5,216,200
1698,2,1,0,0.545,84,70
1699,3,2,2,1.55,153,150
1700,5,2,1,1.2,108,113
1701,2,1,1,0.55,86,36
1702,2,1,1,0.975,78,54
1703,2,2,0,1.85,170,180
1705,3,3,1,1.47,108,150
1706,4,3,1,3.85,440,340
1707,2,2,1,1.75,180,180
1708,2,2,2,3.3,207,200
1709,7,4,2,3.0,560,300
1710,5,4,2,2.5,260,450
1711,2,1,0,0.307,60,36
1712,7,5,3,5.0,330,280
1713,2,3,2,5.5,560,500
1714,3,2,0,1.1,95,130
1715,5,3,2,1.75,210,230
1716,5,4,4,3.5,373,400
1717,5,2,0,1.1,108,130
1718,2,2,0,0.9,108,160
1719,3,2,1,0.9,108,160
1720,3,2,2,2.3,200,140
1721,3,3,1,0.85,60,120
1722,2,1,0,0.8,100,126
1723,3,3,2,1.6,210,90
1724,3,3,3,2.85,252,200
1725,3,3,0,0.875,120,60
1726,5,5,0,0.395,44,88
1727,3,2,2,1.5,153,117
1730,3,2,1,1.6,153,162
1731,4,3,1,2.0,200,162
1733,3,2,1,1.4,128,110
1735,4,3,0,1.9,195,180
1738,2,2,3,2.8,224,180
1739,5,2,0,1.2,108,113
1740,4,2,4,2.1,100,200
1741,6,3,1,1.8,153,140
1742,2,1,1,0.975,78,45
1743,2,1,1,0.263,72,50
1746,4,2,0,1.8,225,170
1747,4,2,0,1.8,225,175
1749,3,2,1,1.9,180,192
1752,2,2,1,0.9,98,98
1753,5,3,2,5.0,560,450
1754,2,2,0,1.6,216,200
1756,3,3,0,2.85,252,200
1757,3,3,0,2.0,170,150
1763,3,3,2,2.5,150,220
1765,2,2,0,1.1,53,58
1769,3,1,1,0.85,179,70
1770,5,4,0,6.0,400,500
1771,6,5,0,6.0,400,500
1773,3,3,0,1.45,101,140
1774,6,3,3,3.7,493,250
1776,3,3,0,0.875,60,120
1777,4,3,0,3.49,294,237
1778,1,1,1,0.7,114,70
1779,3,2,0,1.5,74,78
1781,3,1,0,0.7,96,90
1782,4,3,2,2.1,135,160
1783,2,1,1,1.15,101,70
1785,2,2,2,1.55,144,170
1786,4,4,0,1.5,67,134
1788,3,2,0,1.45,179,150
1790,3,2,1,2.2,153,110
1793,5,3,1,12.5,273,250
1796,3,3,0,2.1,190,170
1797,7,4,4,23.0,485,300
1805,5,3,2,13.9,409,279
1807,4,5,0,6.9,286,525
1808,4,2,2,7.0,227,313
1809,2,2,0,8.74,437,437
1812,4,3,1,4.99,360,192
1815,3,2,0,0.022,299,250
1816,3,1,0,4.9,318,200
1818,5,3,0,6.25,187,300
1819,3,1,3,9.0,437,300
1820,7,4,8,17.0,483,260
1825,5,2,1,7.0,284,400
1827,5,3,2,7.5,292,250
1829,8,5,2,18.0,463,403
1834,3,4,2,12.0,410,165
1836,3,1,2,1.45,145,70
1837,5,4,2,16.0,638,587
1838,6,5,2,17.0,463,403
1840,4,2,2,12.0,410,154
1843,5,4,0,5.75,176,270
1849,7,3,1,6.5,208,190
1850,5,2,1,6.5,176,270
1852,3,2,1,13.0,400,289
1854,3,2,0,2.0,120,120
1856,4,1,0,30.0,645,142
1860,3,2,1,0.7,91,110
1865,6,4,2,20.0,607,435
1866,4,2,1,1.9,151,182
1868,5,2,0,9.5,458,269
1869,7,3,4,12.0,390,300
1874,3,2,1,1.2,66,92
1876,7,2,0,7.9,341,270
1877,5,3,1,5.2,345,400
1881,5,3,2,12.0,450,375
1884,3,1,3,8.74,437,250
1885,5,4,3,14.0,451,328
1886,7,7,5,13.0,405,250
1889,4,3,0,11.0,400,200
1891,5,3,2,5.5,176,270
1896,3,2,1,0.6,60,50
1898,2,2,1,1.25,66,62
1899,3,1,4,10.0,407,305
1900,2,2,0,1.22,103,80
1901,4,4,4,15.5,515,550
1904,5,4,2,15.0,347,320
1906,5,3,1,8.49,390,280
1908,4,2,2,11.0,451,420
1909,5,4,1,6.8,176,270
1910,5,4,1,6.8,175,270
1917,4,3,1,4.9,465,186
1919,5,3,1,14.0,466,350
1920,5,4,1,18.0,638,587
1922,6,3,2,11.0,375,236
1923,4,2,5,15.0,488,200
1929,7,6,5,30.0,560,500
1933,4,1,0,1.25,100,90
1936,4,4,0,9.5,242,300
1937,7,5,1,8.0,258,360
1939,8,6,0,3.0,445,125
1940,5,7,1,7.2,260,350
1944,5,3,0,2.5,185,230
1945,4,2,1,1.9,151,148
1946,7,3,2,3.5,440,440
1947,3,2,2,1.85,102,100
1948,5,3,1,4.5,323,314
1959,7,3,1,6.5,205,190
1962,4,3,1,2.6,161,165
1964,6,4,0,8.7,325,300
1966,5,4,0,12.3,451,500
1969,2,1,1,0.165,60,36
1971,5,2,2,4.25,442,250
1972,6,4,2,4.7,333,314
1973,1,1,0,14.0,468,230
1974,5,3,1,5.5,176,270
1975,3,2,1,3.8,256,212
1976,2,2,0,1.75,105,77
1981,5,5,0,7.25,198,350
1984,5,4,0,9.0,367,500
1985,3,1,0,0.67,87,90
1987,8,4,10,18.0,538,389
1988,7,6,4,30.0,560,580
1989,8,3,2,8.78,327,350
1990,7,3,4,8.85,390,300
1993,3,2,1,0.82,72,120
1995,4,2,0,7.5,312,125
1996,4,2,1,19.0,468,232
1997,7,4,1,6.5,176,270
1999,4,3,1,9.75,308,350
2000,4,3,0,9.75,308,350
2003,4,4,5,4.3,528,370
2005,4,3,0,25.0,488,330
2007,7,5,0,8.0,258,360
2008,4,4,2,6.0,253,400
2011,4,3,1,8.5,407,380
2014,5,2,2,3.2,218,198
2016,5,4,2,9.0,458,269
2017,7,4,0,0.795,104,104
2021,6,3,0,9.0,313,250
2026,3,1,3,8.74,437,300
2029,4,4,2,8.5,407,375
2038,3,2,5,0.022,299,250
2042,6,6,0,8.5,390,400
2049,4,4,2,4.95,140,250
2050,3,3,2,4.9,140,250
2052,7,2,1,7.5,250,350
2053,5,3,2,2.3,158,220
2061,5,3,2,2.9,242,140
2066,2,1,0,0.325,42,40
2067,3,2,5,8.74,437,300
2070,4,3,2,4.95,140,250
2074,7,6,1,30.0,560,580
2076,5,4,1,2.2,209,360
2078,3,3,0,0.9,85,125
2079,6,4,2,9.5,367,250
2080,5,7,0,20.0,468,232
2087,2,1,1,0.95,84,100
2089,7,5,1,13.5,353,485
2090,8,2,0,1.2,139,100
2093,3,2,1,0.985,107,70
2094,7,3,2,13.5,354,486
2096,3,3,1,1.47,85,120
2100,1,1,0,8.74,437,1
2101,3,2,0,22.0,520,220
2104,5,2,2,12.0,360,300
2107,5,4,2,7.1,176,305
2108,5,3,2,6.5,220,158
2109,3,2,2,5.4,352,200
2110,5,4,3,8.74,437,300
2113,3,2,6,8.74,437,250
2114,4,3,1,3.97,325,216
2115,3,2,0,2.85,162,200
2116,6,5,1,3.0,260,400
2117,5,3,1,2.6,200,340
2118,4,4,2,5.2,220,295
2119,4,4,2,3.9,240,380
2121,3,3,3,4.3,200,250
2122,5,5,2,9.5,473,550
2123,3,3,0,3.0,126,180
2124,3,2,2,6.25,280,290
2126,3,2,1,2.85,195,170
2127,4,3,2,5.8,300,400
2128,3,2,2,2.3,150,140
2129,3,3,2,1.86,84,110
2130,4,3,1,3.0,180,300
2131,6,5,1,3.9,235,450
2132,3,2,1,1.29,131,90
2133,4,2,1,1.33,164,100
2134,4,3,2,2.1,97,113
2135,3,3,1,4.25,200,250
2136,3,3,2,6.5,285,300
2137,3,3,2,1.94,87,115
2138,4,4,2,3.95,180,202
2139,4,4,1,6.3,375,560
2140,4,4,1,3.15,180,290
2141,5,3,2,3.21,161,236
2142,3,2,1,2.0,123,83
2143,7,3,3,3.95,199,300
2144,3,3,2,2.0,91,120
2146,3,2,2,1.95,126,108
2147,3,2,2,2.85,162,200
2148,2,2,1,1.4,70,120
2149,2,1,0,1.95,126,108
2151,5,3,1,3.2,200,300
2153,5,3,2,4.0,200,250
2154,4,3,2,3.15,140,214
2155,4,3,2,3.37,180,280
2156,3,2,2,3.4,180,110
2157,5,4,2,6.0,360,400
2159,3,2,2,4.0,180,200
2161,4,3,2,4.8,300,250
2163,3,2,1,2.4,117,180
2164,4,4,2,3.0,170,300
2165,4,3,1,3.1,180,280
2166,3,2,1,2.85,162,200
2167,4,3,0,3.6,180,300
2168,3,3,1,2.5,117,185
2169,4,3,2,3.4,180,300
2171,4,1,1,3.5,220,150
2173,3,3,1,1.45,70,120
2174,4,3,1,3.2,180,250
2175,7,4,1,1.59,181,300
2176,5,4,1,3.59,180,300
2177,4,2,0,4.0,325,216
2178,4,3,2,6.0,375,400
2179,4,3,3,2.7,268,254
2180,4,3,1,3.4,200,130
2182,5,4,0,3.6,200,300
2183,5,5,1,4.7,513,350
2184,6,3,2,10.0,425,500
2186,5,5,0,4.0,169,250
2187,4,3,1,4.8,300,230
2188,4,3,2,7.2,375,360
2189,3,2,1,1.95,126,108
2190,6,3,2,3.2,182,180
2191,5,5,2,3.95,182,380
2192,3,2,1,2.7,140,120
2193,3,3,1,6.0,300,180
2194,3,4,2,3.5,180,220
2195,4,3,2,3.95,180,202
2196,3,3,1,3.8,220,260
2197,5,3,1,1.32,112,140
2198,3,2,2,2.6,240,130
2199,4,4,0,6.0,240,245
2201,4,3,2,3.5,239,250
2202,4,4,1,5.95,225,350
2203,4,4,0,4.65,200,270
2205,6,3,1,1.3,112,140
2206,3,4,1,3.8,220,250
2207,4,4,1,3.0,258,206
2208,4,3,1,2.7,254,268
2210,4,3,2,3.6,200,208
2213,4,3,1,5.1,240,375
2218,3,2,1,2.85,198,220
2219,5,3,2,6.3,375,400
2220,5,6,2,6.0,240,375
2222,4,4,1,4.65,200,270
2224,7,5,5,4.85,513,350
2226,4,2,0,4.6,182,200
2227,4,3,0,4.6,180,220
2228,4,6,2,4.1,240,260
2229,5,3,2,3.65,200,208
2230,5,3,1,2.5,145,250
2231,5,5,1,4.6,513,350
2233,4,2,1,1.32,112,140
2234,4,4,2,5.5,570,300
2235,2,1,1,0.67,72,45
2236,4,4,1,3.1,180,290
2238,3,3,2,3.65,162,210
2239,4,2,2,3.95,200,250
2240,3,2,10,5.0,300,250
2241,4,3,2,5.85,300,425
2244,4,3,2,2.8,112,150
2245,4,3,2,3.75,175,210
2247,3,2,2,3.8,240,180
2248,5,6,2,5.0,240,365
2249,4,3,2,3.9,180,220
2250,3,2,1,2.75,126,180
2251,3,3,2,7.6,400,450
2252,3,3,2,5.8,375,420
2253,4,3,0,4.5,200,300
2254,3,2,0,3.65,279,150
2255,4,3,3,6.5,300,350
2256,4,4,0,10.0,450,550
2257,3,2,2,4.99,300,250
2258,4,3,1,4.35,198,270
2259,5,6,1,4.65,240,365
2260,4,5,2,7.5,300,400
2261,4,3,0,3.5,225,300
2262,4,3,0,4.5,265,300
2263,3,3,0,3.5,240,160
2264,3,4,2,3.65,180,220
2265,4,3,2,1.95,128,108
2266,5,5,2,3.0,180,290
2267,4,3,0,3.5,180,300
2268,3,2,2,2.9,200,150
2269,4,3,6,7.0,370,450
2272,3,2,2,1.9,112,100
2273,5,4,2,6.2,360,400
2274,4,3,1,2.7,268,254
2275,4,4,0,2.75,192,350
2276,6,5,1,3.9,442,250
2277,3,2,1,2.5,200,120
2278,4,4,1,3.8,220,260
2279,4,2,0,2.5,200,160
2282,7,3,1,2.2,181,300
2283,5,3,2,3.5,162,225
2284,4,3,2,10.0,450,550
2286,3,2,1,2.9,162,200
2287,4,3,3,4.8,300,230
2290,3,2,2,1.99,112,100
2293,3,2,2,1.8,125,150
2294,5,4,1,7.0,375,560
2296,5,3,2,6.7,375,400
2297,5,4,5,4.5,513,350
2298,5,4,2,3.95,180,202
2299,4,3,1,3.1,180,300
2300,5,5,1,6.5,375,560
2302,3,3,1,1.95,160,180
2303,3,3,1,6.0,240,245
2304,3,2,0,0.85,127,150
2305,4,3,1,2.8,180,100
2306,7,4,0,2.2,181,200
2308,3,3,1,2.4,130,150
2311,2,1,1,1.7,126,75
2312,3,2,2,3.5,240,180
2313,3,2,0,2.45,180,150
2314,4,2,2,0.125,300,296
2316,3,3,1,2.6,180,150
2317,3,2,1,4.8,300,180
2318,4,3,2,4.2,198,258
2322,3,3,1,4.5,262,220
2323,5,4,0,6.0,300,350
2324,4,3,2,5.7,375,211
2327,3,3,0,1.45,70,120
2329,3,2,1,2.2,133,200
2330,4,3,2,2.85,180,270
2335,4,4,2,7.0,375,500
2338,4,4,0,9.5,473,550
2342,5,3,3,8.5,300,480
2343,3,2,2,3.25,278,235
2346,3,3,2,2.6,180,150
2348,4,2,1,2.5,145,155
2349,4,4,3,4.9,507,500
2350,5,3,1,1.7,142,250
2351,3,2,0,1.35,152,260
2354,4,4,3,7.5,300,400
2355,5,4,2,4.45,225,500
2358,4,5,0,3.95,182,350
2362,3,3,0,4.25,325,185
2364,3,3,0,2.0,91,120
2365,5,3,0,6.5,288,300
2367,3,4,0,9.5,450,400
2368,3,2,1,2.89,200,150
2370,4,3,1,4.8,300,200
2374,4,3,2,11.0,450,550
2375,6,3,2,4.8,300,400
2376,3,2,0,1.9,140,180
2377,3,1,0,0.6,60,110
2378,3,3,1,1.38,131,90
2381,4,2,0,2.5,145,155
2384,5,3,2,4.25,260,260
2387,5,4,4,4.35,225,500
2391,5,3,3,4.8,375,203
2392,3,2,1,2.5,211,170
2394,3,3,2,2.45,130,150
2398,4,3,1,4.65,200,270
2399,3,3,2,1.93,87,115
2401,5,2,2,4.72,300,400
2403,6,4,0,7.0,390,500
2404,6,3,2,9.2,408,500
2405,2,1,1,0.3,55,40
2406,4,4,0,3.95,180,202
2407,4,2,1,1.65,105,150
2408,3,3,10,2.6,180,150
2409,3,2,1,1.8,70,130
2410,4,2,1,1.55,104,140
2415,3,2,2,2.6,178,150
2416,3,3,2,3.25,147,220
2417,4,3,0,1.8,224,170
2418,3,2,1,3.1,195,220
2422,3,2,1,1.6,84,60
2423,5,5,2,9.5,450,500
2425,3,1,1,2.7,180,97
2426,3,3,1,2.6,140,250
2427,3,4,2,2.05,105,150
2428,3,2,1,0.425,55,56
2429,3,2,1,3.0,220,240
2430,6,4,1,7.5,325,350
2431,2,2,1,3.2,180,130
2432,5,4,1,3.5,180,300
2434,4,3,1,2.9,220,150
2435,4,3,1,3.6,180,250
2436,2,2,1,1.8,126,108
2437,3,3,1,3.05,157,165
2438,5,3,1,2.7,210,267
2439,4,4,2,14.0,400,535
2440,5,4,2,3.3,325,250
2441,5,3,3,5.0,325,350
2442,4,3,2,4.3,160,240
2443,2,1,1,1.29,111,65
2444,2,2,0,1.85,120,100
2445,5,5,2,1.35,165,150
2447,6,4,1,4.99,200,375
2448,5,4,3,4.15,157,250
2449,4,3,1,3.0,200,150
2450,4,4,2,3.7,160,230
2451,6,4,2,5.5,328,400
2452,4,3,2,3.05,116,168
2453,5,3,1,4.5,200,300
2454,4,3,2,3.97,270,290
2455,4,3,2,3.9,270,290
2456,4,3,1,1.65,178,150
2457,4,3,2,2.6,150,185
2458,3,3,2,2.25,116,117
2459,3,3,1,2.75,238,110
2460,3,2,1,3.3,178,130
2461,3,2,1,2.8,180,120
2462,3,3,2,3.4,141,246
2463,3,2,2,5.5,240,180
2464,3,2,3,5.5,240,180
