,JKT,JKM,GRS,HARGA,LT,LB
298,3,2,4,0.4,370,240
299,3,2,0,8.0,399,304
301,5,4,0,5.5,400,260
302,2,3,1,3.25,184,300
307,3,2,5,3.2,346,220
308,6,2,4,9.0,389,350
309,2,2,1,0.95,72,65
311,3,1,2,0.55,122,70
313,3,2,1,1.2,120,110
314,4,2,0,1.5,110,150
315,4,3,0,1.7,90,180
316,2,1,0,0.45,74,70
318,2,2,1,1.4,139,105
319,2,2,1,1.3,137,160
320,3,3,3,1.65,136,200
322,2,2,1,3.5,202,400
323,5,3,1,4.25,404,300
324,4,3,2,1.9,168,130
325,4,3,0,1.6,111,200
326,1,2,0,0.95,72,65
327,4,2,0,1.33,61,90
328,4,3,1,0.968,41,68
329,4,3,0,17.0,612,503
330,4,2,0,2.9,348,200
331,4,3,0,4.5,280,330
334,4,3,4,3.8,202,300
335,3,2,0,3.7,250,200
336,3,2,0,0.55,125,115
337,4,3,0,3.6,202,300
342,4,2,2,1.8,170,210
343,4,2,0,4.5,404,300
345,1,1,0,20.0,235,235
346,4,1,0,0.85,84,120
351,2,2,1,1.0,39,52
354,4,2,2,1.99,104,125
355,2,2,0,2.1,177,162
356,6,4,0,8.9,414,300
358,4,3,2,0.85,84,120
360,4,4,1,4.15,306,400
361,4,2,1,1.3,145,150
363,2,2,0,2.2,135,200
366,3,2,1,1.4,147,132
367,3,3,2,1.95,122,150
368,4,3,1,1.64,75,140
369,4,3,1,1.9,251,160
370,3,2,0,0.865,65,225
371,3,1,2,1.3,140,120
372,5,4,2,4.0,239,400
375,2,1,0,0.6,76,60
376,4,3,3,12.0,305,500
377,4,3,2,2.3,134,200
378,5,2,3,3.4,311,264
379,3,1,1,1.2,177,120
380,6,3,2,5.5,328,400
382,2,1,0,0.5,50,71
383,3,2,1,2.5,235,175
384,2,1,1,1.3,118,100
385,2,2,0,0.985,101,160
386,4,3,1,2.5,96,192
387,2,2,0,0.958,101,160
388,2,1,0,0.55,87,60
389,3,2,1,2.6,234,137
390,3,3,0,1.95,122,150
391,4,3,1,3.1,200,350
392,3,1,0,1.2,90,110
393,4,3,0,2.5,91,200
394,2,1,0,1.6,97,153
397,3,2,0,1.6,129,100
398,5,3,2,1.9,106,240
399,3,2,0,1.65,97,140
401,5,3,0,1.9,106,240
402,4,3,2,1.7,157,145
404,2,1,1,0.15,60,36
405,3,2,1,1.55,75,140
409,4,2,1,1.65,97,140
411,2,1,0,1.6,181,68
413,1,1,0,0.35,70,70
414,3,2,1,2.5,180,150
416,3,2,1,1.85,221,250
418,3,1,0,1.5,91,80
419,3,2,0,1.6,75,140
421,3,3,1,3.95,127,250
423,4,2,0,0.65,82,100
424,2,2,1,1.1,94,120
425,5,4,0,12.0,483,550
427,4,3,1,0.95,84,200
429,3,2,1,1.6,75,140
430,4,4,0,2.5,131,200
431,4,3,1,2.5,121,200
432,3,2,1,3.25,421,165
433,4,3,2,3.9,121,245
436,3,3,0,3.6,127,260
437,3,2,0,1.9,106,150
438,2,2,1,1.0,94,120
439,3,2,0,1.95,138,120
440,4,2,1,1.57,150,124
441,2,3,2,5.0,214,250
442,3,3,5,2.9,254,324
443,2,1,0,0.69,107,99
444,2,1,0,0.75,107,99
445,4,4,0,2.2,91,167
447,5,2,0,3.7,311,265
449,3,1,0,2.4,313,400
450,1,1,0,11.0,355,200
451,3,2,1,1.6,130,110
452,4,2,0,0.95,128,100
453,2,1,0,0.56,55,70
