Unnamed: 0,JKT,JKM,GRS,LT,LB,Category
295,3,1,0,120,120,Mahal
297,3,2,1,72,120,Murah
298,3,2,4,370,240,Murah
301,5,4,0,400,260,Mahal
302,2,3,1,184,300,Mahal
307,3,2,5,346,220,Mahal
309,2,2,1,72,65,Murah
311,3,1,2,122,70,Murah
313,3,2,1,120,110,Sedang
314,4,2,0,110,150,Sedang
315,4,3,0,90,180,Sedang
316,2,1,0,74,70,Murah
318,2,2,1,139,105,Sedang
319,2,2,1,137,160,Sedang
320,3,3,3,136,200,Sedang
322,2,2,1,202,400,Mahal
323,5,3,1,404,300,Mahal
324,4,3,2,168,130,Sedang
325,4,3,0,111,200,Sedang
326,1,2,0,72,65,Murah
327,4,2,0,61,90,Sedang
328,4,3,1,41,68,Murah
330,4,2,0,348,200,Sedang
331,4,3,0,280,330,Mahal
334,4,3,4,202,300,Mahal
335,3,2,0,250,200,Mahal
336,3,2,0,125,115,Murah
337,4,3,0,202,300,Mahal
342,4,2,2,170,210,Sedang
343,4,2,0,404,300,Mahal
346,4,1,0,84,120,Murah
351,2,2,1,39,52,Murah
354,4,2,2,104,125,Sedang
355,2,2,0,177,162,Sedang
358,4,3,2,84,120,Murah
360,4,4,1,306,400,Mahal
361,4,2,1,145,150,Sedang
363,2,2,0,135,200,Sedang
366,3,2,1,147,132,Sedang
367,3,3,2,122,150,Sedang
368,4,3,1,75,140,Sedang
369,4,3,1,251,160,Sedang
370,3,2,0,65,225,Murah
371,3,1,2,140,120,Sedang
372,5,4,2,239,400,Mahal
375,2,1,0,76,60,Murah
377,4,3,2,134,200,Sedang
378,5,2,3,311,264,Mahal
379,3,1,1,177,120,Sedang
380,6,3,2,328,400,Mahal
382,2,1,0,50,71,Murah
383,3,2,1,235,175,Sedang
384,2,1,1,118,100,Sedang
385,2,2,0,101,160,Murah
386,4,3,1,96,192,Sedang
387,2,2,0,101,160,Murah
388,2,1,0,87,60,Murah
389,3,2,1,234,137,Sedang
390,3,3,0,122,150,Sedang
391,4,3,1,200,350,Mahal
392,3,1,0,90,110,Sedang
393,4,3,0,91,200,Sedang
394,2,1,0,97,153,Sedang
397,3,2,0,129,100,Sedang
398,5,3,2,106,240,Sedang
399,3,2,0,97,140,Sedang
401,5,3,0,106,240,Sedang
402,4,3,2,157,145,Sedang
404,2,1,1,60,36,Murah
405,3,2,1,75,140,Sedang
409,4,2,1,97,140,Sedang
411,2,1,0,181,68,Sedang
413,1,1,0,70,70,Murah
414,3,2,1,180,150,Sedang
416,3,2,1,221,250,Sedang
418,3,1,0,91,80,Sedang
419,3,2,0,75,140,Sedang
421,3,3,1,127,250,Mahal
423,4,2,0,82,100,Murah
424,2,2,1,94,120,Sedang
427,4,3,1,84,200,Murah
429,3,2,1,75,140,Sedang
430,4,4,0,131,200,Sedang
431,4,3,1,121,200,Sedang
432,3,2,1,421,165,Mahal
433,4,3,2,121,245,Mahal
436,3,3,0,127,260,Mahal
437,3,2,0,106,150,Sedang
438,2,2,1,94,120,Murah
439,3,2,0,138,120,Sedang
440,4,2,1,150,124,Sedang
441,2,3,2,214,250,Mahal
442,3,3,5,254,324,Sedang
443,2,1,0,107,99,Murah
444,2,1,0,107,99,Murah
445,4,4,0,91,167,Sedang
447,5,2,0,311,265,Mahal
449,3,1,0,313,400,Sedang
451,3,2,1,130,110,Sedang
452,4,2,0,128,100,Murah
453,2,1,0,55,70,Murah
455,6,5,2,120,250,Mahal
456,2,1,0,110,90,Sedang
457,4,3,0,212,238,Sedang
458,3,1,1,122,110,Murah
461,4,3,4,217,200,Mahal
463,3,2,0,311,264,Mahal
464,5,5,1,114,200,Sedang
465,2,2,1,101,160,Murah
468,3,2,0,210,200,Sedang
469,4,3,1,306,400,Mahal
471,1,1,0,44,88,Murah
473,6,2,0,310,250,Mahal
474,3,2,0,55,105,Murah
477,3,1,0,75,150,Sedang
482,4,4,2,297,297,Mahal
484,2,1,0,107,99,Murah
494,2,2,1,101,160,Sedang
495,3,3,1,160,280,Sedang
496,5,2,2,311,265,Mahal
497,5,4,2,297,500,Mahal
499,4,4,1,122,220,Sedang
500,2,2,1,178,300,Mahal
503,5,1,0,103,80,Murah
506,4,2,0,112,112,Murah
507,3,2,0,144,160,Sedang
509,4,3,0,212,235,Sedang
512,5,2,2,328,339,Mahal
513,3,2,2,129,110,Sedang
515,3,2,1,75,200,Sedang
516,3,3,2,85,120,Murah
519,3,1,0,157,109,Murah
521,4,4,1,306,450,Mahal
522,3,3,0,200,150,Sedang
526,4,2,0,112,100,Murah
527,4,2,0,66,120,Murah
528,4,4,2,180,300,Mahal
529,2,1,1,120,80,Murah
530,2,1,0,79,80,Murah
531,2,2,0,97,80,Murah
532,5,3,1,106,240,Sedang
533,4,2,1,59,200,Sedang
534,3,2,1,100,140,Sedang
535,3,2,1,108,175,Sedang
538,3,2,0,83,140,Sedang
539,2,1,1,72,45,Murah
540,6,3,0,42,120,Murah
541,4,4,2,255,500,Sedang
542,3,3,2,133,180,Sedang
543,7,4,0,105,200,Murah
544,5,5,0,240,300,Mahal
545,2,2,1,109,205,Mahal
546,3,2,1,169,270,Sedang
549,4,3,2,298,300,Mahal
550,4,5,2,96,266,Sedang
551,4,1,0,50,85,Murah
552,3,2,0,130,110,Sedang
554,3,2,2,233,120,Sedang
557,4,3,0,84,200,Sedang
558,3,2,0,65,195,Murah
560,5,5,0,122,220,Sedang
561,3,3,1,127,250,Sedang
565,3,1,0,75,75,Murah
566,4,4,0,170,400,Mahal
567,3,1,0,118,160,Sedang
569,3,2,1,75,140,Sedang
570,3,1,0,65,65,Sedang
571,5,3,1,106,204,Sedang
572,5,2,1,538,520,Mahal
573,3,2,0,100,90,Murah
575,3,2,0,160,280,Sedang
576,3,2,2,249,300,Sedang
577,6,5,1,142,284,Sedang
578,3,1,0,150,130,Sedang
579,5,2,2,102,240,Sedang
581,3,2,1,142,120,Sedang
582,6,5,0,154,90,Murah
583,3,1,1,144,120,Sedang
584,3,1,0,65,65,Sedang
585,3,2,1,75,150,Sedang
586,3,2,0,150,200,Mahal
587,2,2,1,63,120,Sedang
588,3,1,0,90,80,Murah
589,4,4,1,86,125,Sedang
590,5,4,1,200,350,Mahal
591,2,2,0,70,140,Murah
593,5,2,0,242,325,Mahal
594,2,2,0,96,120,Sedang
